

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.007  000.007: --- NVIM STARTING ---
000.633  000.626: locale set
013.682  013.049: inits 1
013.704  000.022: window checked
017.381  003.676: parsing arguments
017.689  000.309: expanding arguments
017.761  000.072: inits 2
018.370  000.609: init highlight
018.373  000.003: waiting for UI
020.423  002.049: done waiting for UI
020.442  000.019: init screen for UI
020.468  000.026: init default mappings
020.622  000.154: init default autocommands
051.048  000.031  000.031: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/nvim-treesitter/autoload/nvim_treesitter.vim
175.818  000.330  000.330: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder.vim
176.010  000.019  000.019: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/setup.vim
176.206  000.024  000.024: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/options.vim
176.568  000.104  000.104: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/highlighter.vim
176.803  000.028  000.028: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/component/popupmenu_empty_message_with_spinner.vim
177.002  000.021  000.021: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/component/spinner.vim
177.234  000.025  000.025: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/component/popupmenu_empty_message.vim
177.575  000.147  000.147: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/component/popupmenu_devicons.vim
177.750  000.025  000.025: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/cache.vim
177.967  000.021  000.021: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/component/popupmenu_scrollbar.vim
178.225  000.070  000.070: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/popupmenu_border_theme.vim
